,id,species,new_id
0,1,Acer_Opalus,1
1,2,Pterocarya_Stenoptera,2
2,3,Quercus_Hartwissiana,3
3,5,Tilia_Tomentosa,4
4,6,Quercus_Variabilis,5
5,8,Magnolia_Salicifolia,6
6,10,Quercus_Canariensis,7
7,11,Quercus_Rubra,8
8,14,Quercus_Brantii,9
9,15,Salix_Fragilis,10
10,17,Zelkova_Serrata,11
11,18,Betula_Austrosinensis,12
12,20,Quercus_Pontica,13
13,21,Quercus_Afares,14
14,22,Quercus_Coccifera,15
15,25,Fagus_Sylvatica,16
16,26,Phildelphus,17
17,27,Acer_Palmatum,18
18,29,Quercus_Pubescens,19
19,30,Populus_Adenopoda,20
20,31,Quercus_Trojana,21
21,32,Quercus_Variabilis,22
22,34,Alnus_Sieboldiana,23
23,35,Quercus_Ilex,24
24,37,Arundinaria_Simonii,25
25,38,Acer_Platanoids,26
26,40,Quercus_Phillyraeoides,27
27,42,Cornus_Chinensis,28
28,43,Quercus_Phillyraeoides,29
29,45,Fagus_Sylvatica,30
30,48,Liriodendron_Tulipifera,31
31,49,Cytisus_Battandieri,32
32,50,Tilia_Tomentosa,33
33,54,Rhododendron_x_Russellianum,34
34,55,Alnus_Rubra,35
35,56,Eucalyptus_Glaucescens,36
36,58,Cercis_Siliquastrum,37
37,60,Cotinus_Coggygria,38
38,61,Celtis_Koraiensis,39
39,63,Quercus_Crassifolia,40
40,64,Quercus_Variabilis,41
41,66,Quercus_Hartwissiana,42
42,67,Quercus_Kewensis,43
43,69,Quercus_Coccifera,44
44,71,Cornus_Controversa,45
45,72,Quercus_Pyrenaica,46
46,73,Callicarpa_Bodinieri,47
47,75,Quercus_Alnifolia,48
48,76,Quercus_Canariensis,49
49,78,Acer_Saccharinum,50
50,80,Prunus_X_Shmittii,51
51,81,Prunus_Avium,52
52,82,Quercus_Greggii,53
53,83,Quercus_Suber,54
54,84,Quercus_Trojana,55
55,85,Liriodendron_Tulipifera,56
56,87,Quercus_Coccifera,57
57,88,Cercis_Siliquastrum,58
58,92,Quercus_Suber,59
59,100,Celtis_Koraiensis,60
60,101,Quercus_Dolicholepis,61
61,103,Rhododendron_x_Russellianum,62
62,106,Ilex_Cornuta,63
63,107,Tilia_Oliveri,64
64,108,Quercus_Semecarpifolia,65
65,109,Quercus_Texana,66
66,115,Celtis_Koraiensis,67
67,116,Ginkgo_Biloba,68
68,118,Acer_Palmatum,69
69,120,Quercus_Variabilis,70
70,122,Liriodendron_Tulipifera,71
71,124,Liquidambar_Styraciflua,72
72,127,Quercus_Phellos,73
73,129,Quercus_Crassifolia,74
74,130,Quercus_Palustris,75
75,132,Quercus_Phellos,76
76,133,Quercus_Alnifolia,77
77,134,Quercus_Afares,78
78,139,Quercus_Canariensis,79
79,140,Alnus_Maximowiczii,80
80,142,Quercus_Agrifolia,81
81,143,Callicarpa_Bodinieri,82
82,145,Prunus_Avium,83
83,146,Acer_Pictum,84
84,148,Acer_Rufinerve,85
85,149,Lithocarpus_Cleistocarpus,86
86,152,Viburnum_x_Rhytidophylloides,87
87,153,Celtis_Koraiensis,88
88,155,Ilex_Aquifolium,89
89,160,Acer_Circinatum,90
90,163,Quercus_Coccinea,91
91,164,Acer_Circinatum,92
92,165,Quercus_Cerris,93
93,166,Acer_Circinatum,94
94,167,Acer_Saccharinum,95
95,168,Quercus_Chrysolepis,96
96,169,Celtis_Koraiensis,97
97,171,Quercus_Semecarpifolia,98
98,173,Eucalyptus_Neglecta,99
99,175,Betula_Austrosinensis,100
100,178,Ginkgo_Biloba,101
101,179,Quercus_Canariensis,102
102,183,Tilia_Platyphyllos,103
103,186,Alnus_Cordata,104
104,188,Populus_Nigra,105
105,189,Quercus_Coccinea,106
106,190,Quercus_Variabilis,107
107,194,Quercus_Pyrenaica,108
108,196,Arundinaria_Simonii,109
109,198,Alnus_Cordata,110
110,199,Arundinaria_Simonii,111
111,201,Acer_Capillipes,112
112,202,Quercus_Kewensis,113
113,203,Acer_Palmatum,114
114,204,Quercus_Agrifolia,115
115,206,Quercus_Agrifolia,116
116,211,Tilia_Tomentosa,117
117,212,Liriodendron_Tulipifera,118
118,214,Magnolia_Heptapeta,119
119,215,Quercus_Dolicholepis,120
120,216,Acer_Mono,121
121,217,Cornus_Macrophylla,122
122,218,Crataegus_Monogyna,123
123,219,Liquidambar_Styraciflua,124
124,224,Cotinus_Coggygria,125
125,225,Quercus_x_Turneri,126
126,227,Acer_Capillipes,127
127,228,Quercus_Castaneifolia,128
128,231,Ilex_Cornuta,129
129,233,Lithocarpus_Edulis,130
130,235,Acer_Circinatum,131
131,237,Populus_Grandidentata,132
132,238,Acer_Rubrum,133
133,239,Tilia_Platyphyllos,134
134,240,Quercus_Cerris,135
135,241,Lithocarpus_Edulis,136
136,242,Cercis_Siliquastrum,137
137,243,Quercus_Agrifolia,138
138,245,Quercus_Pubescens,139
139,246,Quercus_Suber,140
140,247,Quercus_Pontica,141
141,248,Ilex_Aquifolium,142
142,249,Celtis_Koraiensis,143
143,252,Lithocarpus_Cleistocarpus,144
144,253,Acer_Saccharinum,145
145,256,Magnolia_Salicifolia,146
146,257,Quercus_Crassifolia,147
147,258,Fagus_Sylvatica,148
148,259,Quercus_Trojana,149
149,260,Quercus_Afares,150
150,262,Quercus_Palustris,151
151,263,Quercus_Imbricaria,152
152,265,Eucalyptus_Urnigera,153
153,267,Quercus_Ilex,154
154,268,Acer_Circinatum,155
155,269,Phildelphus,156
156,270,Quercus_Crassipes,157
157,273,Cornus_Controversa,158
158,275,Quercus_Hartwissiana,159
159,278,Quercus_Variabilis,160
160,280,Quercus_x_Turneri,161
